timestamp_us,acceleration,capacitance
1211,142,0
2423,43,0
3636,-65,0
4848,-113,0
6060,-119,1334394
7272,-68,1334394
8485,32,1334394
9697,99,1334394
10909,121,1334394
12122,79,1334394
13334,10,1334394
14546,-57,1334394
15759,-100,1334394
16971,-90,1340972
18183,-31,1340972
19396,41,1340972
20608,95,1340972
21821,90,1340972
23033,47,1340972
24245,-5,1340972
25457,-58,1340972
26670,-64,1340972
27882,-29,1439952
29095,22,1439952
30307,53,1439952
31519,58,1439952
32731,54,1439952
33944,22,1439952
35156,-5,1439952
36369,-44,1439952
37581,-50,1439952
38794,-24,1672754
40006,16,1672754
41217,65,1672754
42430,73,1672754
43643,43,1672754
44855,0,1672754
46067,-19,1672754
47279,-54,1672754
48492,-38,1672754
49704,-4,1694492
50916,31,1694492
52129,52,1694492
53341,56,1694492
54553,27,1694492
55765,0,1694492
56978,-15,1694492
58190,-33,1694492
59403,-24,1694492
60615,2,1704514
61828,26,1709293
63040,48,1709293
64252,59,1709293
65464,20,1709293
66676,-27,1709293
67889,-40,1709293
69101,-43,1709293
70314,-15,1709293
71526,8,1709293
72738,43,1702098
73950,38,1702098
75163,30,1702098
76376,-7,1702098
77588,-36,1702098
78800,22,1702098
86074,-3,1702098
87286,-25,1702098
88499,-21,1702098
89711,-11,1702098
90923,15,1702098
92136,34,1702098
93349,34,1714073
94560,20,1714021
95772,-4,1714021
96986,-14,1714021
98198,-10,1714021
99410,-2,1714021
100622,13,1714021
101835,23,1714021
103047,19,1714021
104259,5,1714021
105471,-12,1738483
106684,-28,1738483
107896,-24,1738483
109109,-4,1738483
110321,10,1738483
111533,37,1738483
112745,58,1738483
113957,77,1738483
115170,92,1738483
116383,73,1738415
117595,7,1761455
118808,-67,1761455
120020,-118,1761455
121232,-109,1761455
122444,-44,1761455
123656,34,1761455
124869,95,1761455
126081,114,1761455
127294,72,1761330
128506,-1,1741618
129719,-65,1741618
130930,-102,1741618
132143,-91,1741618
133356,-34,1741618
134568,34,1741618
135780,83,1741618
136992,97,1741618
138204,63,1741618
139417,6,1741618
140630,-47,1741618
141841,-70,1741618
143054,-51,1741618
144267,-13,1741618
145479,33,1741618
146691,60,1741618
147903,68,1741104
149116,43,1741104
150328,-12,1741104
151540,-47,1741104
152753,-54,1741104
153965,-37,1741104
155177,8,1741104
156390,46,1741104
157603,69,1741104
158815,53,1741104
160027,12,1738329
161240,-33,1738329
162452,27,1738329
170939,-9,1738072
172151,-37,1738072
173363,-25,1738072
174576,29,1738072
175788,114,1738072
177000,105,1738072
178213,67,1738072
179424,-25,1738072
180637,-99,1738072
181849,-124,1749224
183062,-80,1749224
184275,-2,1749224
185487,94,1749224
186698,147,1749224
187911,122,1749224
189123,8,1749224
190335,-105,1749224
191548,-158,1749224
192761,-123,1746346
193973,-52,1746346
195185,79,1746346
196397,139,1746346
197610,150,1746346
198822,73,1746346
200034,-36,1746346
201247,-133,1746346
202459,-142,1746346
203671,-39,1710578
204883,41,1710578
206096,103,1710578
207309,111,1710578
208521,65,1710578
209733,25,1710578
210945,-8,1710578
212158,-46,1710578
213370,-59,1710578
214583,-30,1711143
215795,12,1711143
217007,56,1711143
218219,80,1711143
219431,61,1711143
220644,58,1711143
221856,8,1711143
223068,-39,1711143
224280,-59,1711143
225493,-64,1733858
226706,-47,1733858
227917,11,1733858
229130,48,1733858
230342,58,1733858
231555,49,1733858
232769,11,1733858
233979,-24,1733858
235191,-42,1733858
236403,-27,1742800
237616,3,1742800
238828,37,1742800
240040,47,1742800
241252,32,1742800
242466,12,1742800
243677,-14,1742800
244889,-29,1742800
246101,-25,1742800
247314,-13,1742800
254588,-16,1742800
255800,-14,1742800
257012,1,1742800
258225,8,1737918
259438,19,1743520
260650,25,1743520
261861,24,1743520
263074,25,1743520
264287,39,1743520
265499,20,1743520
266711,7,1743520
267923,-23,1743520
269136,-42,1743520
270347,-42,1749173
271560,-6,1749173
272772,20,1749173
273985,36,1749173
275197,31,1749173
276410,11,1749173
277621,-17,1749173
278833,-28,1749173
280045,-12,1749173
281258,3,1755340
282470,19,1755340
283683,28,1755340
284895,27,1755340
286107,27,1755340
287319,9,1755340
288531,5,1755340
289744,-4,1755340
290956,6,1755340
292169,-11,1754260
293381,-5,1754260
294593,1,1754260
295806,18,1754260
297017,19,1754260
298230,15,1754260
299442,-12,1754260
300654,-37,1754260
301867,-12,1754260
303079,21,1754339
304291,38,1761507
305503,38,1761507
306716,37,1761507
307928,3,1761507
309141,-12,1761507
310353,-22,1761507
311565,-26,1761507
312778,-13,1761507
313989,17,1761372
315202,27,1752924
316415,44,1752924
317626,22,1752924
318839,-23,1752924
320052,-53,1752924
321264,-22,1752924
322476,1,1752924
323688,18,1752924
324900,37,1752924
326112,63,1752924
327325,29,1752924
328537,0,1752924
329749,-64,1752924
330962,62,1752924
338235,3,1752924
339448,-41,1752924
340660,-66,1752924
341872,-47,1752924
343085,-4,1752924
344298,49,1752924
345510,73,1752924
346721,65,1724196
347934,21,1724196
349146,-27,1724196
350358,-52,1724196
351571,-46,1724196
352782,8,1724196
353995,41,1724196
355207,61,1724196
356419,61,1724196
357632,25,1739511
358844,-4,1739511
360057,-16,1739511
361269,-9,1739511
362482,1,1739511
363693,17,1739511
364905,35,1739511
366117,34,1739511
367330,19,1739511
368542,37,1748453
369754,-2,1748453
370967,-19,1748453
372179,-41,1748453
373391,-27,1748453
374604,-18,1748453
375816,9,1748453
377028,16,1748453
378241,33,1748453
379452,31,1754106
380665,12,1754106
381877,4,1754106
383089,-3,1754106
384302,2,1754106
385514,10,1754106
386727,20,1754106
387939,17,1754106
389152,13,1754106
390363,4,1726766
391576,-10,1726766
392788,-7,1726766
394000,-10,1726766
395213,0,1726766
396426,5,1726766
397638,15,1726766
398850,19,1726766
400062,21,1726766
401275,11,1724505
402487,4,1724505
403700,0,1724505
404912,2,1724505
406124,1,1724505
407336,7,1724505
408549,15,1724505
409762,16,1724505
410974,16,1724505
412186,9,1707700
413399,5,1707700
414610,13,1707700
423098,14,1701995
424310,4,1701995
425522,2,1701995
426734,2,1701995
427947,5,1701995
429158,8,1701995
430371,12,1701995
431583,13,1701995
432795,12,1701995
434007,7,1704822
435220,-4,1688377
436432,-8,1688377
437644,-7,1688377
438857,-6,1688377
440069,4,1688377
441282,12,1688377
442494,9,1688377
443706,7,1688377
444918,4,1688377
446130,-1,1701430
447343,-5,1701430
448555,-2,1701430
449768,5,1701430
450980,14,1701430
452192,21,1701430
453405,17,1701430
454617,7,1701430
455829,-1,1701430
457042,-8,1659483
458254,-6,1725019
459466,-3,1725019
460678,5,1725019
461891,13,1725019
463103,24,1725019
464315,18,1725019
465527,13,1725019
466740,7,1725019
467952,-10,1728102
469165,-18,1728102
470377,-15,1728102
471589,4,1728102
472802,15,1728102
474015,30,1728102
475226,42,1728102
476440,23,1728102
477651,-3,1728102
478864,-34,1728102
480076,-45,1728102
481288,-34,1728102
482500,1,1728102
483713,29,1728102
484926,45,1728102
486138,40,1728102
487351,7,1728102
488563,-15,1728102
489775,-26,1728218
490987,-22,1731546
492199,-8,1731546
493411,15,1731546
494623,21,1731546
495836,22,1731546
497048,5,1731546
498261,-15,1731546
499473,21,1731546
507959,-1,1731546
509172,-12,1731546
510384,-11,1743982
511596,-1,1743982
512809,12,1743982
514021,28,1743982
515233,34,1743982
516445,24,1743982
517658,13,1743982
518871,28,1743982
520082,27,1743982
521295,15,1743982
522507,-17,1754106
523720,-33,1754106
524932,-22,1754106
526144,10,1754106
527356,36,1754106
528569,56,1754106
529781,36,1754106
530993,10,1754106
532206,-19,1754106
533418,-48,1757498
534631,-58,1757498
535843,-11,1757498
537055,16,1757498
538267,54,1757498
539479,64,1757498
540692,42,1757498
541904,-2,1757498
543117,-43,1757498
544329,-50,1737918
545541,-34,1737918
546753,9,1737918
547966,42,1737918
549178,59,1737918
550390,45,1737918
551603,17,1737918
552815,-11,1737918
554028,-35,1737918
555240,-36,1721062
556451,-18,1721062
557664,7,1721062
558876,37,1721062
560088,54,1721062
561301,34,1721062
562513,5,1721062
563726,-11,1721062
564937,-28,1721062
566149,-22,1704874
567362,0,1704874
568574,25,1704874
569787,35,1704874
570999,40,1704874
572211,24,1704874
573423,15,1704874
574636,-9,1704874
575848,-28,1704874
577060,-44,1720034
578272,-31,1720034
579485,-5,1720034
580697,31,1720034
581909,53,1720034
583121,48,1720034
584334,13,1720034
591608,40,1720034
592819,38,1720034
594032,35,1720034
595244,1,1720034
596457,-21,1720034
597668,-25,1720034
598881,-16,1732111
600093,3,1732111
601306,26,1732111
602518,36,1732111
603730,38,1732111
604942,15,1732111
606155,-5,1732111
607367,-14,1732111
608579,-14,1732111
609791,-1,1741310
611003,5,1741310
612216,15,1741310
613428,20,1741310
614641,15,1741310
615852,19,1741310
617065,57,1741310
618278,49,1741310
619490,15,1741310
620702,-5,1745987
621915,-8,1761404
623127,-22,1761404
624340,-14,1761404
625552,-2,1761404
626764,7,1761404
627976,31,1761404
629188,49,1761404
630400,38,1761404
631613,9,1761404
632825,-43,1750303
634037,-58,1750303
635250,-56,1750303
636463,-15,1750303
637674,32,1750303
638887,101,1750303
640099,72,1750303
641312,25,1750303
642524,-46,1750303
643736,-88,1754620
644948,-101,1754620
646161,-81,1754620
647373,-30,1754620
648586,48,1754620
649799,88,1754620
651011,149,1754620
652223,125,1754620
653435,33,1754620
654647,-105,1746757
655860,-176,1746757
657072,-168,1746757
658285,-51,1746757
659497,72,1746757
660709,136,1746757
661921,129,1746757
663133,176,1746757
664346,57,1746757
665558,-50,1746764
666770,-134,1762380
667983,148,1762380
676469,-1,1762380
677682,4,1762380
678894,-173,1762380
680106,-191,1762380
681319,-124,1762380
682531,17,1762380
683743,98,1762380
684956,111,1762380
686168,97,1762380
687381,67,1762461
688593,-25,1762461
689806,-17,1762461
691018,-84,1762461
692230,-126,1762461
693442,-55,1762461
694655,48,1762461
695867,105,1762461
697080,134,1770397
698292,103,1770397
699504,52,1770397
700716,-14,1770397
701929,-75,1770397
703141,-131,1770397
704353,-127,1770397
705566,-39,1770397
706779,55,1770397
707991,140,1770397
709203,156,1785660
710415,124,1785660
711628,59,1785660
712840,0,1785660
714052,-79,1785660
715265,-128,1785660
716477,-121,1785660
717689,-63,1785660
718903,19,1785660
720115,89,1780007
721327,107,1780007
722539,83,1780007
723752,15,1780007
724963,-51,1780007
726176,-91,1780007
727388,-88,1780007
728601,-42,1780007
729813,9,1780007
731025,61,1716385
732237,87,1716385
733450,80,1716385
734662,24,1716385
735875,-18,1716385
737086,-50,1716385
738299,-57,1716385
739511,-26,1716385
740724,15,1716385
741936,46,1681336
743148,56,1681336
744360,43,1681336
745573,9,1681336
746785,-24,1681336
747998,-33,1681336
749209,-42,1681336
750422,-15,1681336
751634,19,1681336
752846,-35,1681336
760121,-34,1681336
761333,-11,1681336
762546,16,1681336
763758,37,1669157
764970,37,1669157
766182,29,1669157
767395,7,1669157
768608,-8,1669157
769819,-22,1669157
771032,-17,1669157
772244,-7,1669157
773457,14,1669157
774669,25,1692540
775881,23,1692540
777094,18,1692540
778306,9,1692540
779519,-5,1692540
780731,-11,1692540
781943,-3,1692540
783156,1,1692540
784368,10,1692540
785580,17,1726355
786793,15,1726355
788005,18,1726355
789217,16,1726355
790430,9,1726355
791642,5,1726355
792854,6,1726355
794067,11,1726355
795279,15,1726355
796491,15,1745061
797704,15,1745061
798916,20,1745061
800128,11,1745061
801342,8,1745061
802553,-1,1745061
803765,-9,1745061
804978,-12,1745061
806190,-1,1745061
807403,2,1747323
808615,8,1750612
809828,21,1750612
811039,17,1750612
812252,15,1750612
813464,7,1750612
814676,-8,1750612
815889,-20,1750612
817101,-22,1750612
818313,-18,1750612
819526,-2,1749018
820738,15,1749018
821951,19,1749018
823163,26,1749018
824375,20,1749018
825587,13,1749018
826799,-13,1749018
828012,-26,1749018
829224,-23,1749018
830436,-8,1758372
831649,17,1758372
832861,62,1758372
834073,117,1758372
835286,77,1758372
836498,37,1758372
844984,74,1758372
846198,81,1758372
847410,35,1758372
848622,-18,1758372
849834,-48,1758372
851047,-65,1742389
852259,-41,1742584
853471,-5,1753592
854683,35,1753592
855895,48,1753592
857108,58,1753592
858320,28,1753592
859532,2,1753592
860745,-36,1753592
861957,-46,1753592
863169,-39,1753539
864381,-8,1739203
865594,22,1739203
866806,40,1739203
868018,45,1739203
869231,29,1739203
870444,4,1739203
871656,-19,1739203
872868,-24,1739203
874081,-21,1739203
875293,-8,1739203
876505,15,1739203
877718,36,1739203
878929,41,1739203
880141,33,1739203
881354,13,1739203
882567,-13,1739203
883778,-26,1739203
884991,-30,1739203
886204,-14,1739203
887416,15,1739203
888628,47,1739203
889841,60,1739203
891052,42,1739203
892265,10,1739203
893478,-20,1739203
894689,-43,1739203
895902,-49,1742492
897114,-23,1742492
898327,14,1742492
899539,40,1742492
900752,47,1742492
901964,26,1742492
903176,0,1742492
904388,-30,1742492
905601,-31,1742492
906812,-18,1745832
908025,8,1745832
909238,37,1745832
910450,51,1745832
911662,45,1745832
912874,20,1745832
914087,-15,1745832
915299,-32,1745832
916511,-35,1745832
917724,-10,1724865
918936,9,1724865
920148,33,1724865
921361,-2,1736633
928634,5,1736633
929847,29,1736633
931059,32,1736633
932272,40,1736633
933484,51,1736633
934697,12,1736633
935909,-21,1736633
937121,-50,1736633
938334,-41,1736633
939545,-12,1748350
940758,32,1748350
941970,55,1748350
943182,60,1748350
944395,39,1748350
945607,8,1748350
946820,-25,1748350
948032,-48,1748350
949245,-24,1748350
950457,-12,1754672
951669,23,1754672
952881,56,1754672
954093,58,1754672
955306,35,1754672
956519,-1,1754672
957731,-36,1754672
958944,-57,1754672
960155,-43,1754672
961368,-14,1756265
962580,16,1756265
963792,41,1756265
965005,54,1756265
966217,33,1756265
967430,8,1756265
968642,-6,1756265
969854,-3,1756265
971067,8,1756265
972279,21,1748659
973492,10,1748659
974704,8,1748659
975916,0,1748659
977128,1,1748659
978340,-8,1748659
979553,1,1748659
980765,1,1748659
981978,6,1748659
983190,4,1757601
984403,23,1747374
985615,26,1747374
986827,23,1747374
988040,18,1747374
989252,8,1747374
990464,-5,1747374
991676,-23,1747374
992889,-20,1747374
994101,-9,1747374
995314,0,1735503
996526,15,1735503
997738,25,1735503
998952,27,1735503
1000163,16,1735503
1001376,-5,1735503
1002588,-21,1735503
1003801,-22,1735503
1005013,14,1735503
1013500,-5,1735503
1014711,-11,1735503
1015924,-21,1706210
1017136,-14,1759155
1018348,5,1693619
1019561,19,1693619
1020774,28,1693619
1021985,24,1693619
1023197,5,1693619
1024411,-16,1693619
1025622,-26,1693619
1026835,-24,1693619
1028047,-12,1685653
1029259,13,1685653
1030471,28,1685653
1031683,41,1685653
1032896,37,1685653
1034108,17,1685653
1035321,-5,1685653
1036533,-32,1685653
1037745,-27,1685653
1038957,-17,1685630
1040170,1,1693054
1041383,25,1693054
1042594,51,1693054
1043807,25,1693054
1045020,16,1693054
1046231,-1,1693054
1047444,-18,1693054
1048657,-33,1693054
1049868,-24,1693049
1051081,-5,1691769
1052294,20,1691769
1053505,38,1691769
1054718,37,1691769
1055931,13,1691769
1057142,-9,1691769
1058355,-31,1691769
1059567,-29,1691769
1060779,-12,1691769
1061992,10,1691769
1063204,32,1691769
1064416,42,1691769
1065629,35,1691769
1066841,13,1691769
1068054,-14,1691769
1069266,-24,1691769
1070478,-23,1691769
1071691,-14,1691769
1072902,12,1691769
1074115,32,1691769
1075327,38,1691769
1076540,29,1691769
1077752,7,1691769
1078964,-10,1691769
1080176,-15,1691769
1081389,-14,1691769
1082601,2,1684625
1083814,15,1684625
1085025,25,1684625
1086238,29,1684625
1087450,20,1684625
1088663,6,1684625
1089875,16,1684625
1097149,17,1684625
1098361,15,1684625
1099575,41,1684625
1100786,9,1684625
1101999,-3,1684625
1103211,-19,1684625
1104423,-3,1685704
1105636,19,1685704
1106849,28,1685704
1108061,26,1685704
1109274,13,1685704
1110486,12,1685704
