timestamp_us,acceleration,capacitance
603,-35,0
1815,-77,0
3028,-111,0
4240,-66,0
5453,-1,0
6665,56,0
7878,101,0
9091,86,0
10302,32,1675015
11516,-67,1655486
12727,-109,1655486
13940,-96,1655486
15152,-20,1655486
16364,59,1655486
17578,122,1655486
18789,111,1655486
20002,53,1655486
21214,-19,1655486
22427,-87,1676249
23639,-95,1676249
24852,-59,1676249
26064,3,1676249
27276,59,1676249
28489,81,1676249
29702,60,1676249
30915,-2,1676249
32126,-42,1676249
33338,-71,1676249
34552,-60,1676249
35763,-13,1676249
36976,28,1676249
38188,60,1676249
39401,64,1676249
40613,36,1676249
41826,12,1676249
43038,-1,1676249
44250,3,1690330
45464,-20,1690330
46675,-41,1690330
47888,-13,1690330
49101,5,1690330
50314,26,1690330
51526,-15,1690330
52738,-49,1690330
53950,-61,1690330
55164,-17,1658969
56376,14,1724505
57588,70,1724505
58801,149,1724505
60013,149,1724505
61226,51,1724505
62439,-52,1724505
63651,-122,1724505
64864,-142,1724505
66076,-99,1724617
67289,0,1713353
68502,74,1713353
69713,116,1713353
70926,101,1713353
72138,23,1713353
73351,-52,1713353
74564,-98,1713353
75776,-94,1713353
76989,-45,1713254
78201,-50,1714278
86692,-31,1714278
87902,-20,1714278
89115,4,1714278
90326,48,1714278
91539,77,1714278
92752,61,1714278
93964,8,1714278
95177,-13,1714278
96389,-66,1714278
97601,-71,1718235
98814,-62,1718235
100026,-7,1718235
101239,51,1718235
102451,86,1718235
103664,75,1718235
104877,19,1718235
106089,-27,1718235
107301,-59,1718235
108514,-44,1718235
109727,-8,1718286
110938,32,1718286
112152,60,1718286
113363,80,1718286
114576,67,1718286
115788,25,1718286
117001,8,1718286
118213,-5,1718286
119425,-59,1718286
120638,-45,1718441
121851,-50,1718441
123063,-15,1718441
124276,-3,1718441
125488,32,1718441
126700,34,1718441
127914,39,1718441
129125,36,1718441
130338,12,1718441
131550,3,1715614
132763,-8,1715614
133975,-6,1715614
135189,-9,1715614
136401,19,1715614
137613,25,1715614
138826,24,1715614
140038,22,1715614
141250,12,1715614
142463,-12,1699734
143675,-1,1699734
144888,1,1699734
146101,-2,1699734
147313,-13,1699734
