timestamp_us,acceleration,capacitance
603,2,0
1815,60,1740539
3028,32,1740539
4240,48,1740539
5451,2,1740539
6663,-58,1740539
7875,-82,1740539
9088,-43,1740539
10299,23,1740539
11511,83,1740539
12723,91,1751897
13936,53,1751897
15148,0,1751897
16359,-37,1751897
17571,-50,1751897
18784,-27,1751897
19996,6,1751897
21207,40,1751897
22419,56,1751897
23632,36,1764282
24844,-5,1764282
26055,-23,1764282
27267,-41,1764282
28479,-28,1764282
29691,7,1764282
30903,31,1764282
32115,41,1764282
33327,41,1764282
34539,20,1759399
35751,-28,1759913
36963,-45,1759913
38175,-42,1759913
39387,-18,1759913
40599,20,1759913
41811,50,1759913
43023,48,1759913
44235,26,1759913
45446,-8,1759913
46659,-40,1756316
47871,-44,1756316
49082,-26,1756316
50294,13,1756316
51507,36,1756316
52719,44,1756316
53931,22,1756316
55142,-5,1756316
56355,-32,1756316
57567,-38,1750612
58778,-14,1750612
59991,14,1750612
61202,33,1750612
62414,39,1750612
63625,52,1750612
64838,24,1750612
66049,-3,1750612
67262,-39,1750612
68473,-42,1768290
69686,21,1768290
70897,50,1768290
72109,35,1768290
73321,-18,1768290
74533,-46,1768290
75746,-51,1768290
76958,-13,1768290
78169,-34,1768290
86654,-85,1768290
87865,-116,1768290
89077,-67,1762791
90289,21,1762590
91502,76,1763614
92713,108,1763614
93925,98,1763614
95137,33,1763614
96349,-24,1763614
97561,-74,1763614
98773,-109,1763614
99986,-96,1763614
101197,-24,1763666
102409,51,1750098
103621,104,1750098
104833,116,1750098
106045,66,1750098
107257,-16,1750098
108469,-83,1750098
109681,-107,1750098
110894,-82,1750098
112106,-11,1750098
113317,63,1750098
114530,104,1750098
115741,94,1750098
116953,39,1750098
118165,-43,1750098
119378,-101,1750098
120590,-109,1750098
121802,-46,1750098
123013,35,1748299
124225,82,1748299
125437,107,1748299
126650,90,1748299
127861,41,1748299
129073,-48,1748299
130285,-99,1748299
131497,-91,1748299
132709,-23,1748299
133921,50,1763459
135133,87,1763459
136345,89,1763459
137557,59,1763459
138769,-9,1763459
139980,-52,1763459
141192,-64,1763459
142404,-34,1763459
143616,16,1763459
144828,56,1774868
146040,63,1774868
147252,47,1774868
148465,9,1774868
149676,-20,1774868
150888,-30,1774868
152101,-14,1774868
153312,21,1774868
154524,50,1774868
155736,61,1780573
156948,25,1780573
158160,-9,1780573
159372,-39,1780573
160584,-36,1780573
161796,-33,1780573
163008,-112,1780573
170280,-154,1780573
171492,-171,1780573
172704,-73,1780573
173916,30,1780573
175128,187,1780573
176340,210,1780573
177551,99,1774046
178764,-11,1774046
179976,-127,1774046
181187,-235,1774046
182399,-130,1774046
183611,17,1774046
184823,137,1774046
186035,125,1774046
187247,136,1774046
188459,25,1744188
189671,-70,1744188
190883,-118,1744188
