timestamp_us,acceleration,capacitance
603,-25,1716745
1814,32,1716745
3027,-13,1716745
4237,15,1716745
5449,77,1716745
6660,70,1716745
7871,13,1716745
9083,-28,1716745
10294,-62,1716745
11505,-41,1716745
12718,33,1740077
13928,54,1740077
15140,79,1740077
16351,38,1740077
17563,-3,1740077
18774,-22,1740077
19986,-35,1740077
21197,-19,1740077
22409,8,1740077
23620,34,1754877
24832,36,1754877
26043,35,1754877
27254,7,1754877
28466,-9,1754877
29678,-8,1754877
30889,-2,1754877
32101,16,1754877
33312,11,1754877
34524,10,1758269
35735,15,1758269
36946,35,1758269
38158,38,1758269
39369,17,1758269
40581,9,1758269
41792,-43,1758269
43004,-57,1758269
44215,-46,1758269
45426,-4,1760016
46637,16,1760016
47850,35,1760016
49061,41,1760016
50272,19,1760016
51484,9,1760016
52695,-13,1760016
53906,-13,1760016
55118,-22,1760016
56329,-6,1738894
57540,6,1738894
58752,23,1738894
59963,20,1738894
61175,8,1738894
62386,-9,1738894
63598,-11,1738894
64810,-12,1738894
66021,-7,1738894
67232,13,1734321
68444,21,1734321
69654,31,1734321
70866,30,1734321
72078,19,1734321
73289,-25,1734321
74501,-3,1734321
75712,4,1734321
76923,5,1734321
78135,-8,1734321
85404,-8,1734321
86615,-28,1734321
87827,-1,1734321
89037,3,1743776
90249,22,1743776
91461,26,1743776
92672,25,1743776
93883,10,1743776
95095,-9,1743776
96306,-19,1743776
97518,-8,1743776
98730,3,1743776
99940,31,1737353
101153,45,1753901
102364,36,1753901
103575,9,1753901
104786,-20,1753901
105998,-27,1753901
107209,-23,1753901
108421,-7,1753901
109632,4,1753901
110844,22,1753901
112056,15,1757087
113266,13,1757087
114478,12,1757087
115690,14,1757087
116901,11,1757087
118113,-8,1757087
119323,-24,1757087
120535,-23,1757087
121747,-8,1757087
122959,3,1769112
124170,8,1769112
125381,18,1769112
126592,9,1769112
127804,-5,1769112
129016,-18,1769112
130227,-17,1769112
131439,-12,1769112
132650,0,1769112
133862,14,1720587
135073,23,1786123
136284,23,1786123
137496,7,1786123
138707,6,1786123
139919,9,1786123
141130,9,1786123
142341,15,1786123
143553,55,1786123
144764,32,1786324
145977,-8,1785044
147187,-46,1785044
148399,-46,1785044
149610,-17,1785044
150822,27,1785044
152033,56,1785044
153245,45,1785044
154456,22,1785044
155667,-13,1784913
156879,-10,1791057
158091,-15,1791057
159302,-7,1791057
160514,5,1791057
161725,-47,1791057
170205,27,1791057
171417,64,1791057
172628,72,1791057
173840,29,1791057
175051,-3,1791057
176263,-43,1790440
177475,-56,1790440
178686,-39,1790440
179897,-3,1790440
181108,27,1790440
182320,59,1790440
183532,65,1790440
184743,18,1790440
185954,-22,1790440
187166,-28,1790440
188378,-8,1785815
189589,20,1785815
190800,39,1785815
192013,35,1785815
193223,18,1785815
194435,-1,1785815
195647,-21,1785815
196858,-22,1785815
198071,-28,1785815
199281,5,1781549
200493,27,1781549
201703,23,1781549
202915,23,1781549
204126,2,1781549
205338,-24,1781549
206549,-22,1781549
207761,-10,1781549
208972,5,1781549
210184,14,1759657
211394,22,1759657
212607,26,1759657
213817,4,1759657
215029,0,1759657
216241,2,1759657
217452,1,1759657
218664,1,1759657
219875,5,1759657
221086,11,1716796
222297,7,1716796
223508,9,1716796
224720,5,1716796
225931,4,1716796
227143,1,1716796
228354,5,1716796
229566,1,1716796
230777,3,1716796
231988,9,1716231
233201,5,1716231
234411,6,1716231
235623,8,1716231
236835,13,1716231
238045,8,1716231
239257,4,1716231
240469,5,1716231
241680,2,1716231
242891,1,1699734
244102,-3,1699734
245314,2,1699734
246525,3,1699734
253794,-8,1720907
255006,0,1720907
256218,5,1720907
257429,7,1720907
258640,4,1720907
259851,3,1720907
261063,6,1720907
262274,10,1720907
263486,8,1720907
264697,8,1733087
265909,13,1745473
267121,6,1745473
268332,12,1745473
269543,9,1745473
270755,6,1745473
271967,5,1745473
273178,8,1745473
274389,4,1745473
275601,6,1745473
276812,-2,1745987
278024,3,1745987
279235,5,1745987
280447,1,1745987
281658,3,1745987
282870,5,1745987
284082,6,1745987
285293,4,1745987
286504,2,1745987
287715,8,1755391
288926,9,1755391
290138,10,1755391
291349,9,1755391
292561,1,1755391
293772,-2,1755391
294984,-9,1755391
296195,2,1755391
297406,20,1755391
298618,17,1767622
299829,15,1767622
301040,4,1767622
302252,-7,1767622
303463,-18,1767622
304675,1,1767622
305886,32,1767622
307098,49,1767622
308309,50,1767622
309520,20,1767476
310732,-8,1769780
311944,-43,1769780
313155,-32,1769780
314366,-18,1769780
315577,2,1769780
316789,38,1769780
318001,29,1769780
319212,49,1769780
320423,6,1769836
321635,-25,1770860
322846,-69,1770860
324057,-58,1770860
325269,-2,1770860
326480,29,1770860
327692,83,1770860
328904,72,1770860
330114,78,1770860
337383,131,1770860
338595,132,1770860
339807,111,1770860
341018,-66,1761558
342229,-162,1761558
343441,-162,1761558
344652,-109,1761558
345864,15,1761558
347076,101,1761558
348286,176,1761558
349499,156,1761558
350709,87,1761558
351921,-94,1761558
353133,-170,1755494
354344,-202,1755494
355555,-106,1755494
356767,51,1755494
357978,134,1755494
359190,157,1755494
360401,130,1755494
361612,58,1755494
362824,-37,1755494
364035,-99,1756316
365247,-141,1756316
366458,-107,1756316
367671,13,1756316
368882,88,1756316
370093,120,1756316
371305,103,1756316
372516,60,1756316
373728,-43,1756316
374939,-99,1756522
376150,-97,1756522
377362,-34,1756522
378573,28,1756522
379784,84,1756522
380996,94,1756522
382208,62,1756522
383419,1,1756522
384631,-56,1756522
385842,-66,1771528
387053,-39,1771528
388265,10,1771528
389477,48,1771528
390688,68,1771528
391899,56,1771528
393111,20,1771528
394322,-16,1771528
395534,-33,1771528
396746,-27,1769780
397957,-12,1769780
399168,28,1769780
400379,49,1769780
401591,62,1769780
402802,44,1769780
404014,13,1769780
405225,-8,1769780
406437,-32,1769780
407647,-22,1774098
408859,-10,1774098
410070,5,1774098
411282,35,1774098
412493,44,1774098
413705,-30,1774098
420973,-4,1774098
422185,45,1774098
423396,51,1774098
424607,46,1774098
425819,21,1774098
427030,-3,1774098
428241,-32,1774098
429453,-34,1770346
430664,-21,1748196
431875,3,1748196
433086,23,1748196
434297,36,1748196
435509,32,1748196
436720,10,1748196
437932,-8,1748196
439142,-20,1748196
440354,-24,1748196
441565,-14,1746141
442776,2,1746141
443987,21,1746141
445200,27,1746141
446410,22,1746141
447622,4,1746141
448833,-14,1746141
450044,-21,1746141
451256,-22,1746141
452467,-9,1746141
453678,7,1746141
454890,23,1746141
456101,26,1746141
457313,12,1746141
458523,2,1746141
459735,-1,1746141
460947,-4,1746141
462158,5,1746141
463369,17,1721062
464581,29,1721062
465793,25,1721062
467004,3,1721062
468215,-12,1721062
469427,-15,1721062
470638,-11,1721062
471849,-9,1721062
473060,3,1721062
474272,10,1725584
475483,9,1725584
476694,0,1725584
477906,15,1725584
479117,9,1725584
480329,1,1725584
481541,1,1725584
482752,8,1725584
483964,13,1725584
485174,4,1725557
486386,8,1704565
487597,8,1704565
488809,2,1704565
490021,-2,1704565
491232,-6,1704565
492443,3,1704565
493656,5,1704565
494866,11,1704565
496078,1,1704516
497289,32,1705028
505770,3,1705028
506982,10,1705028
508193,-5,1705028
509405,-1,1705028
510616,-4,1705028
511827,2,1705028
513039,16,1705028
514250,16,1705028
515462,18,1705028
516673,7,1705028
517885,2,1703537
519097,-6,1703537
520308,0,1703537
521520,3,1703537
522731,16,1703537
523942,14,1703537
525154,15,1703537
526366,10,1703537
527577,4,1703537
528788,-2,1683289
529999,-8,1683289
531211,11,1683289
532422,15,1683289
533634,12,1683289
534846,8,1683289
536057,6,1683289
537269,0,1683289
538480,-5,1683289
539692,1,1682621
540902,5,1682621
542114,-3,1682621
543325,-2,1682621
544537,13,1682621
545748,15,1682621
546959,11,1682621
548171,26,1682621
549382,26,1682621
550594,8,1676865
551805,4,1676865
553017,7,1676865
554228,10,1676865
555439,6,1676865
556651,1,1676865
557862,2,1676865
559073,4,1676865
560285,5,1676865
561496,10,1706466
562707,12,1706466
563919,23,1706466
565130,9,1706466
566342,1,1706466
567553,-9,1706466
568765,-1,1706466
569976,8,1706466
571188,13,1706466
572399,36,1712479
573610,14,1712479
574821,4,1712479
576033,-5,1712479
577245,-8,1712479
578456,-1,1712479
579668,6,1712479
580879,15,1712479
582090,-18,1712479
589359,-7,1712479
590570,5,1712479
591781,25,1712479
592993,31,1712479
594203,18,1686218
595416,5,1686218
596626,-4,1686218
597838,-9,1686218
599049,-4,1686218
600261,4,1686218
601472,12,1686218
602683,19,1686218
603895,18,1686218
