timestamp_us,acceleration,capacitance
1514,47,0
2726,-39,0
3939,-72,0
5152,-94,0
6365,-22,0
7577,21,1780727
8789,77,1772145
10002,53,1772145
11215,43,1772145
12427,-15,1772145
13640,-38,1772145
14853,-55,1772145
16066,-21,1772145
17278,-6,1772145
18491,17,1772145
19703,51,1784119
20916,19,1784119
22128,-23,1784119
23342,-26,1784119
24554,-25,1784119
25766,-7,1784119
26979,19,1784119
28192,40,1784119
29404,29,1784119
30617,1,1774252
31830,-31,1774252
33043,-42,1774252
34255,-26,1774252
35467,-4,1774252
36680,31,1774252
37893,42,1774252
39106,43,1774252
40318,20,1774252
41531,-12,1786534
42744,-14,1786534
43957,-15,1786534
45169,-7,1786534
46381,8,1786534
47595,41,1786534
48807,61,1786534
50019,121,1786534
51232,158,1786534
52445,42,1799022
53657,-101,1799022
54870,-189,1799022
56083,-211,1799022
57295,-110,1799022
58508,43,1799022
59721,133,1799022
60934,173,1799022
62147,187,1799022
63359,43,1798993
64572,-93,1791057
65784,-211,1791057
66997,-245,1791057
68210,-101,1791057
69422,79,1791057
70636,150,1791057
71847,274,1791057
73060,276,1791057
74273,97,1791227
75486,-96,1795579
76698,-224,1795579
77911,-307,1795579
79124,-27,1795579
87613,-201,1795579
88826,-281,1795579
90038,-193,1795579
91251,67,1795579
92463,164,1795579
93677,127,1795579
94889,110,1769061
96102,79,1769061
97314,-102,1769061
98528,-63,1769061
99740,-48,1769061
100953,13,1769061
102166,42,1769061
103378,167,1769061
104591,110,1769061
105803,-2,1769061
107017,-21,1765309
108229,-124,1765309
109442,-46,1765309
110654,2,1765309
111867,84,1765309
113080,50,1765309
114293,-82,1765309
115505,-86,1765309
116717,-19,1765309
117930,-79,1800770
119143,204,1800770
120356,-19,1800770
121568,30,1800770
122782,53,1800770
123994,-134,1800770
125207,-113,1800770
126419,-10,1800770
127632,71,1800770
128845,129,1814285
130058,205,1814285
131271,136,1814285
132484,-16,1814285
133696,-189,1814285
134909,-202,1814285
136121,-124,1814285
137334,29,1814285
138546,148,1814285
139759,215,1830525
140972,189,1830525
142185,87,1830525
143398,-26,1830525
144610,-155,1830525
145823,-208,1830525
147035,-167,1830525
148249,-69,1830525
149461,59,1830525
150674,140,1808067
151886,173,1808067
153099,142,1808067
